Title,Description,URL,Annotation
Tim Walz's last stop before Election Day,"Minnesota Gov. Tim Walz will address voters in Detroit, Michigan, right before Election Day arrives. CBS News Detroit's Jordan Burrows breaks down what to expect from Walz before he joins Vice President Kamala Harris for the conclusion of their race against f…",https://www.cbsnews.com/video/tim-walzs-last-stop-before-election-day-2024/,Mentions of Kamala through other candidates
"Trump chooses music, dancing over Q&A in Pennsylvania",Former President Donald Trump chose to end a Q&A during his Pennsylvania rally Monday and then turned to music and dancing. CBS News political director Fin Gómez has more details on the odd ending to the Trump rally and how Vice President Kamala Harris' campa…,https://www.cbsnews.com/video/trump-chooses-music-dancing-over-qa-in-pennsylvania/,Mentions of Kamala through other candidates
What to know about Trump's IVF comments,"Former President Donald Trump called himself the ""father of IVF"" as both campaigns vie for support from voters on reproductive rights. Vice President Kamala Harris weighed in on Trump's comments. CBS News' Cristian Benavides has more on Trump's statements abo…",https://www.cbsnews.com/video/what-to-know-about-trumps-ivf-comments/,Mentions of Kamala through other candidates
Trump makes vulgar comment about Arnold Palmer at Pennsylvania rally,"With a little over two weeks until Election Day, Former President Donald Trump began his final pitch to voters in Pennsylvania over the weekend with vulgar remarks about golf legend Arnold Palmer's anatomy. Meanwhile, Vice President Kamala Harris is touting a…",https://www.cbsnews.com/video/trump-makes-vulgar-comment-about-arnold-palmer-at-pennsylvania-rally/,Mentions of Kamala through other candidates
Trump insults Harris during roundtable with Latino voters,"Former President Donald Trump used his time on the campaign trail Tuesday to attack Vice President Kamala Harris, lobbing personal insults at his opponent during a roundtable in Florida with Latino voters. CBS News' Fin Gómez and Libby Cathey have more.",https://www.cbsnews.com/video/trump-insults-harris-during-roundtable-latino-voters/,Mentions of Kamala through other candidates
Eye Opener: Candidates make final push with 8 days to Election Day,"Former President Donald Trump rallied at Madison Square Garden in Manhattan, talking about the economy, the border and unleashing attacks on Vice President Kamala Harris. Allies joined the former president at the rally, but a joke about Puerto Rico by a comed…",https://www.cbsnews.com/video/eye-opener-candidates-make-final-push-with-8-days-to-election-day/,Mentions of Kamala through other candidates
"Trump says ""shame on you"" to people who voted against him","Former President Donald Trump said ""if you voted against me shame on you"" at a New Mexico rally on Thursday after criticizing President Biden's ""garbage"" comment. CBS News political reporter Zak Hudak and CBS News national correspondent Kris Van Cleave follow…",https://www.cbsnews.com/video/trump-says-shame-people-who-voted-against-him/,Mentions of Kamala through other candidates
"South Carolina Rep. Jim Clyburn says Harris still has a path to victory, but ""it's thorny""","South Carolina Democratic Rep. Jim Clyburn joins CBS News to discuss if Vice President Kamala Harris still has a path to victory, saying ""it's not over yet."" He also reacts to House Speaker Mike Johnson saying he will retain Republican control of the chamber.",https://www.cbsnews.com/video/south-carolina-rep-says-harris-still-has-a-path-to-victory-but-its-thorny/,Mentions of Kamala through other candidates
Trump campaign slams John Kelly after New York Times interview,"Vice President Kamala Harris and former President Donald Trump spent Wednesday courting voters in Pennsylvania and Georgia, respectively. However, permeating their campaigns is a New York Times interview wherein John Kelly, Trump's former White House chief of…",https://www.cbsnews.com/video/trump-campaign-slams-john-kelly-new-york-times-interview/,Mentions of Kamala through other candidates
Eye Opener: President Biden's controversial comment threatens to undermine Harris' message,"A controversial comment from President Biden threatens to undermine Kamala Harris' closing argument on unity and getting things done. Also, former President Trump does some damage control after racist remarks were made by a comedian at his New York rally. All…",https://www.cbsnews.com/video/eye-opener-president-bidens-controversial-comment-threatens-to-undermine-harris-message/,Mentions of Kamala through other candidates
"Comedian at Trump rally draws backlash for calling Puerto Rico a ""floating pile of garbage""","Former President Donald Trump rallied at Madison Square Garden in Manhattan, talking about the economy, the border and unleashing attacks on Vice President Kamala Harris. Allies joined the former president at the rally, but a joke about Puerto Rico by a comed…",https://www.cbsnews.com/video/comedian-at-trump-rally-draws-backlash-for-calling-puerto-rico-a-floating-pile-of-garbage/,Mentions of Kamala through other candidates
"Trump says of Liz Cheney, ""Put her with a rifle standing there with 9 barrels shooting at her""","Former President Donald Trump offered his thoughts on Kamala Harris-supporter Liz Cheney Thursday, saying, ""She's a radical war hawk. Let's put her with a rifle standing there with nine barrels shooting at her, OK?"" CBS News campaign reporter Libby Cathey has…",https://www.cbsnews.com/video/trump-says-of-liz-cheney-put-her-with-a-rifle-standing-there-with-9-barrels-shooting-at-her/,Mentions of Kamala through other candidates
What we know about Trump's call with Netanyahu after 2024 election win,More details are emerging about former President Donald Trump's call with Israeli Prime Minister Benjamin Netanyahu after the 2024 election. This comes as world leaders connect with the president-elect after he won the race against Vice President Kamala Harri…,https://www.cbsnews.com/video/what-we-know-about-trumps-call-with-netanyahu-after-2024-election-win/,Mentions of Kamala through other candidates
Rep. Clyburn responds to Sen. Sanders saying Democrats lost working class,Democrats and their allies are grappling with how Vice President Kamala Harris fell short to President-elect Donald Trump in the race for the White House. Independent Sen. Bernie Sanders of Vermont released a statement criticizing the Democratic Party for aba…,https://www.cbsnews.com/video/rep-clyburn-responds-sen-sanders-saying-democrats-lost-working-class/,Mentions of Kamala through other candidates
"Trump says Harris should be ‘forced off’ campaign, wants Biden back","Donald Trump initially said Kamala Harris shouldn't be ""allowed"" to run against him. Now he wants her ""forced off"" the campaign trail.",https://www.msnbc.com/rachel-maddow-show/maddowblog/trump-says-harris-forced-campaign-wants-biden-back-rcna176073,Mentions of Kamala through other candidates
